UniProt gene,UniProt description,Surfaceome Label,Surfaceome Label Source,CD number,CSPA category,TM domains,topology,HPA antibody,DrugBank approved drug IDs,UniProt subcellular
ACE,Angiotensin-converting enzyme,surface,pos. trainingset,CD143,1 - high confidence,1,SP:1-29;NC:30-1257;TM:1258-1278;CY:1279-1306,CAB002426;CAB002921;HPA029298,DB00178;DB00492;DB00519;DB00542;DB00584;DB00616;DB00691;DB00722;DB00790;DB00881;DB01180;DB01197;DB01340;DB01348,Cell membrane (Single-pass type I membrane protein);Cytoplasm;Secreted
ACHE,Acetylcholinesterase,surface,GPI (UniProt),,1 - high confidence,0,SP:1-30;NC:31-614,HPA019704,DB00122;DB00449;DB00483;DB00545;DB00674;DB00677;DB00733;DB00805;DB00843;DB00944;DB00981;DB00989;DB01010;DB01122;DB01199;DB01245;DB01364;DB01400;DB08996,"Cell junction, synapse;Cell membrane (Peripheral membrane protein);Secreted;Cell membrane (Lipid-anchor, GPI-anchor|Extracellular side;Nucleus"
ACKR3,Atypical chemokine receptor 3,surface,pos. trainingset,,1 - high confidence,7,NC:1-41;TM:42-66;CY:67-80;TM:81-102;NC:103-120;TM:121-140;CY:141-160;TM:161-182;NC:183-209;TM:210-234;CY:235-253;TM:254-277;NC:278-293;TM:294-318;CY:319-362,HPA049718,,"Cell membrane (Multi-pass membrane protein);Cytoplasm, perinuclear region;Early endosome;Recycling endosome"
ACP2,Lysosomal acid phosphatase,surface,machine learning,,1 - high confidence,1,SP:1-32;NC:33-380;TM:381-404;CY:405-423,no,,Lysosome lumen;Lysosome membrane (Single-pass membrane protein|Lumenal side
ACVR1,Activin receptor type-1,surface,pos. trainingset,,1 - high confidence,1,SP:1-22;NC:23-123;TM:124-146;CY:147-509,HPA007505;HPA046514,DB00171,Membrane (Single-pass type I membrane protein)
ACVR2A,Activin receptor type-2A,surface,machine learning,,1 - high confidence,1,SP:1-19;NC:20-138;TM:139-161;CY:162-513,HPA046997,,Membrane (Single-pass type I membrane protein)
ACVR2B,Activin receptor type-2B,surface,pos. trainingset,,1 - high confidence,1,SP:1-22;NC:23-137;TM:138-159;CY:160-512,CAB025115,,Cell membrane (Single-pass type I membrane protein)
ADAM10,Disintegrin and metalloproteinase domain-containing protein 10,surface,pos. trainingset,CD156c,1 - high confidence,1,SP:1-18;NC:19-675;TM:676-696;CY:697-748,CAB001709;HPA050670,,Cell membrane (Single-pass type I membrane protein);Endomembrane system (Single-pass type I membrane protein)
ADAM12,Disintegrin and metalloproteinase domain-containing protein 12,surface,pos. trainingset,,1 - high confidence,1,SP:1-28;NC:29-708;TM:709-729;CY:730-909,HPA030866;HPA030867;HPA030868,,Cell membrane (Single-pass type I membrane protein);Secreted;Secreted;Secreted
ADAM15,Disintegrin and metalloproteinase domain-containing protein 15,surface,machine learning,,1 - high confidence,1,SP:1-22;NC:23-696;TM:697-717;CY:718-863,HPA011633,,"Cell junction, adherens junction;Cell projection, cilium, flagellum;Cytoplasmic vesicle, secretory vesicle, acrosome;Endomembrane system (Single-pass type I membrane protein)"
ADAM17,Disintegrin and metalloproteinase domain-containing protein 17,surface,machine learning,CD156b,1 - high confidence,1,SP:1-21;NC:22-671;TM:672-693;CY:694-824,HPA010738;CAB025906;HPA051575,,Membrane (Single-pass type I membrane protein)
ADAM19,Disintegrin and metalloproteinase domain-containing protein 19,surface,machine learning,,1 - high confidence,1,SP:1-25;NC:26-701;TM:702-724;CY:725-955,HPA055537,,Membrane (Single-pass type I membrane protein)
ADAM22,Disintegrin and metalloproteinase domain-containing protein 22,surface,machine learning,,1 - high confidence,1,SP:1-25;NC:26-736;TM:737-760;CY:761-906,HPA045282,,"Cell projection, axon;Membrane (Single-pass type I membrane protein)"
ADAM8,Disintegrin and metalloproteinase domain-containing protein 8,surface,machine learning,CD156a,1 - high confidence,1,SP:1-20;NC:21-653;TM:654-678;CY:679-824,HPA064637,,Membrane (Single-pass type I membrane protein)
ADAM9,Disintegrin and metalloproteinase domain-containing protein 9,surface,pos. trainingset,,1 - high confidence,1,SP:1-28;NC:29-698;TM:699-718;CY:719-819,HPA004000,,Cell membrane (Single-pass type I membrane protein);Secreted
ADCY3,Adenylate cyclase type 3,surface,machine learning,,2 - putative,12,CY:1-77;TM:78-100;NC:101-105;TM:106-126;CY:127-137;TM:138-157;NC:158-168;TM:169-195;CY:196-225;TM:226-247;NC:248-383;TM:384-402;CY:403-632;TM:633-653;NC:654-663;TM:664-687;CY:688-707;TM:708-732;NC:733-752;TM:753-771;CY:772-776;TM:777-795;NC:796-838;TM:839-856;CY:857-1144,CAB010223;HPA051172,,Membrane (Multi-pass membrane protein)
ADCY6,Adenylate cyclase type 6,surface,machine learning,,2 - putative,12,CY:1-151;TM:152-172;NC:173-177;TM:178-198;CY:199-209;TM:210-230;NC:231-235;TM:236-253;CY:254-259;TM:260-278;NC:279-288;TM:289-308;CY:309-668;TM:669-692;NC:693-697;TM:698-721;CY:722-741;TM:742-762;NC:763-814;TM:815-833;CY:834-839;TM:840-859;NC:860-892;TM:893-912;CY:913-1168,CAB018365,,"Cell projection, cilium;Membrane (Multi-pass membrane protein)"
ADCY7,Adenylate cyclase type 7,surface,machine learning,,2 - putative,12,CY:1-33;TM:34-54;NC:55-63;TM:64-85;CY:86-91;TM:92-116;NC:117-121;TM:122-140;CY:141-146;TM:147-169;NC:170-175;TM:176-196;CY:197-595;TM:596-614;NC:615-619;TM:620-641;CY:642-665;TM:666-689;NC:690-718;TM:719-738;CY:739-744;TM:745-762;NC:763-799;TM:800-819;CY:820-1080,HPA048241,,Membrane (Multi-pass membrane protein)
ADCY9,Adenylate cyclase type 9,surface,machine learning,,2 - putative,12,CY:1-117;TM:118-136;NC:137-141;TM:142-164;CY:165-172;TM:173-195;NC:196-217;TM:218-235;CY:236-241;TM:242-261;NC:262-280;TM:281-301;CY:302-787;TM:788-809;NC:810-820;TM:821-843;CY:844-862;TM:863-884;NC:885-891;TM:892-911;CY:912-921;TM:922-939;NC:940-976;TM:977-996;CY:997-1353,HPA041328;HPA044225,,Membrane (Multi-pass membrane protein)
ADORA1,Adenosine receptor A1,surface,pos. trainingset,,1 - high confidence,7,NC:1-11;TM:12-33;CY:34-44;TM:45-69;NC:70-80;TM:81-103;CY:104-123;TM:124-145;NC:146-182;TM:183-206;CY:207-234;TM:235-256;NC:257-267;TM:268-290;CY:291-326,HPA052157;HPA053037,DB00201;DB00277;DB00640;DB00651;DB00806;DB00824;DB00996;DB01223;DB01303;DB01412;DB04932,Cell membrane (Multi-pass membrane protein)
ADRA2A,Alpha-2A adrenergic receptor,surface,pos. trainingset,,1 - high confidence,7,NC:1-32;TM:33-58;CY:59-69;TM:70-90;NC:91-107;TM:108-129;CY:130-149;TM:150-170;NC:171-194;TM:195-217;CY:218-371;TM:372-392;NC:393-409;TM:410-429;CY:430-450,no,DB00246;DB00248;DB00268;DB00320;DB00321;DB00334;DB00363;DB00368;DB00370;DB00397;DB00408;DB00413;DB00449;DB00457;DB00484;DB00543;DB00575;DB00589;DB00629;DB00633;DB00656;DB00668;DB00692;DB00696;DB00697;DB00714;DB00726;DB00734;DB00751;DB00797;DB00800;DB00852;DB00865;DB00925;DB00935;DB00964;DB00968;DB01018;DB01136;DB01142;DB01149;DB01186;DB01200;DB01224;DB01238;DB01267;DB01363;DB01392;DB01403;DB01577;DB01608;DB01624;DB04855;DB04948;DB06148;DB06216;DB06262;DB06623;DB06694;DB06711;DB08815;DB00217;DB00477;DB00540;DB00543;DB00934;DB01049;DB01151;DB00182;DB01365,Cell membrane (Multi-pass membrane protein)
ADRA2C,Alpha-2C adrenergic receptor,surface,pos. trainingset,,1 - high confidence,7,NC:1-49;TM:50-76;CY:77-87;TM:88-108;NC:109-124;TM:125-147;CY:148-167;TM:168-188;NC:189-208;TM:209-231;CY:232-379;TM:380-401;NC:402-420;TM:421-440;CY:441-462,HPA057688,DB00246;DB00248;DB00268;DB00334;DB00363;DB00368;DB00370;DB00408;DB00413;DB00484;DB00575;DB00589;DB00668;DB00697;DB00714;DB00734;DB00797;DB00800;DB00925;DB00935;DB01136;DB01142;DB01186;DB01200;DB01224;DB01238;DB01267;DB01363;DB01392;DB01403;DB01577;DB04855;DB04946;DB06148;DB06216;DB06262;DB06694;DB08815;DB00217;DB00477;DB00540;DB00543;DB00934;DB01049;DB01151;DB00182;DB01365,Cell membrane (Multi-pass membrane protein)
AGTR1,Type-1 angiotensin II receptor,surface,pos. trainingset,,1 - high confidence,7,NC:1-32;TM:33-56;CY:57-64;TM:65-87;NC:88-103;TM:104-124;CY:125-142;TM:143-165;NC:166-199;TM:200-218;CY:219-237;TM:238-259;NC:260-281;TM:282-302;CY:303-359,HPA003596,DB00177;DB00275;DB00678;DB00796;DB00876;DB00966;DB01029;DB01342;DB01347;DB01349;DB08822,Cell membrane (Multi-pass membrane protein)
AGTR2,Type-2 angiotensin II receptor,surface,pos. trainingset,,1 - high confidence,7,NC:1-48;TM:49-70;CY:71-81;TM:82-102;NC:103-119;TM:120-140;CY:141-159;TM:160-181;NC:182-210;TM:211-234;CY:235-253;TM:254-275;NC:276-297;TM:298-321;CY:322-363,HPA029592,DB01349,Cell membrane (Multi-pass membrane protein)
ALCAM,CD166 antigen,surface,machine learning,CD166,1 - high confidence,1,SP:1-27;NC:28-527;TM:528-550;CY:551-583,CAB002148;HPA010926,,Membrane (Single-pass type I membrane protein);Secreted
ALPL,"Alkaline phosphatase, tissue-nonspecific isozyme",surface,GPI (UniProt),,1 - high confidence,0,SP:1-17;NC:18-524,HPA007105;HPA008765;CAB020829,,"Cell membrane (Lipid-anchor, GPI-anchor)"
AMIGO1,Amphoterin-induced protein 1,surface,pos. trainingset,,1 - high confidence,1,SP:1-27;NC:28-372;TM:373-393;CY:394-493,HPA046152,,"Cell membrane (Single-pass type I membrane protein);Cell projection, axon"
AMIGO2,Amphoterin-induced protein 2,surface,pos. trainingset,,1 - high confidence,1,SP:1-21;NC:22-397;TM:398-419;CY:420-522,HPA054004;HPA059601,,Cell membrane (Single-pass type I membrane protein);Nucleus
ANO5,Anoctamin-5,surface,pos. trainingset,,1 - high confidence,8,CY:1-300;TM:301-324;NC:325-382;TM:383-401;CY:402-457;TM:458-485;NC:486-511;TM:512-533;CY:534-555;TM:556-578;NC:579-678;TM:679-701;CY:702-732;TM:733-753;NC:754-830;TM:831-854;CY:855-913,HPA058857,,Cell membrane;Endoplasmic reticulum membrane (Multi-pass membrane protein)
ANO6,Anoctamin-6,surface,pos. trainingset,,1 - high confidence,8,CY:1-295;TM:296-318;NC:319-375;TM:376-395;CY:396-452;TM:453-477;NC:478-509;TM:510-530;CY:531-553;TM:554-572;NC:573-669;TM:670-693;CY:694-726;TM:727-747;NC:748-824;TM:825-846;CY:847-910,HPA038958,,Cell membrane (Multi-pass membrane protein)
ANO9,Anoctamin-9,surface,pos. trainingset,,1 - high confidence,8,CY:1-195;TM:196-217;NC:218-266;TM:267-285;CY:286-330;TM:331-354;NC:355-373;TM:374-394;CY:395-421;TM:422-444;NC:445-547;TM:548-571;CY:572-599;TM:600-621;NC:622-698;TM:699-724;CY:725-782,HPA039948,,Cell membrane (Multi-pass membrane protein)
ANPEP,Aminopeptidase N,surface,pos. trainingset,CD13,1 - high confidence,1,CY:1-11;TM:12-33;NC:34-967,CAB002417;HPA004625,DB00973;DB06196,"Cell membrane (Single-pass type II membrane protein);Cytoplasm, cytosol"
ANTXR1,Anthrax toxin receptor 1,surface,pos. trainingset,,1 - high confidence,1,SP:1-27;NC:28-321;TM:322-343;CY:344-564,HPA052046,,"Cell membrane (Single-pass type I membrane protein);Cell projection, filopodium membrane (Single-pass type I membrane protein);Cell projection, lamellipodium membrane (Single-pass type I membrane protein)"
AOC3,Membrane primary amine oxidase,surface,pos. trainingset,,2 - putative,1,CY:1-6;TM:7-27;NC:28-763,HPA000980;CAB025797,DB00780;DB01275,Cell membrane (Single-pass type II membrane protein)
APCDD1,Protein APCDD1,surface,pos. trainingset,,1 - high confidence,1,SP:1-26;NC:27-492;TM:493-512;CY:513-514,HPA014468,,Cell membrane (Single-pass type I membrane protein)
APLNR,Apelin receptor,surface,pos. trainingset,,1 - high confidence,7,NC:1-31;TM:32-54;CY:55-65;TM:66-86;NC:87-105;TM:106-125;CY:126-144;TM:145-166;NC:167-201;TM:202-225;CY:226-245;TM:246-266;NC:267-285;TM:286-311;CY:312-380,CAB025842,,Cell membrane (Multi-pass membrane protein)
APLP1,Amyloid-like protein 1,surface,pos. trainingset,,1 - high confidence,1,SP:1-35;NC:36-581;TM:582-603;CY:604-650,HPA028970;HPA028971,,Cell membrane (Single-pass type I membrane protein);Cytoplasm
APLP2,Amyloid-like protein 2,surface,pos. trainingset,,1 - high confidence,1,SP:1-31;NC:32-692;TM:693-716;CY:717-763,HPA039319,,Cell membrane (Single-pass type I membrane protein);Nucleus
AQP1,Aquaporin-1,surface,machine learning,,2 - putative,6,CY:1-7;TM:8-36;NC:37-48;TM:49-66;CY:67-70;IM:71-76;IM:77-84;CY:85-94;TM:95-115;NC:116-136;TM:137-155;CY:156-166;TM:167-183;NC:184-186;IM:187-192;IM:193-200;NC:201-207;TM:208-228;CY:229-269,CAB001707;HPA019206;HPA030130,DB00819,Cell membrane (Multi-pass membrane protein)
AREG,Amphiregulin,surface,machine learning,,1 - high confidence,1,SP:1-24;NC:25-198;TM:199-221;CY:222-252,HPA008720;CAB023519,,Membrane (Single-pass membrane protein)
ASIC1,Acid-sensing ion channel 1,surface,pos. trainingset,,1 - high confidence,2,CY:1-43;TM:44-67;NC:68-438;TM:439-458;CY:459-528,no,DB00586;DB00594,Cell membrane (Multi- pass membrane protein)
ATG9A,Autophagy-related protein 9A,surface,machine learning,,2 - putative,6,CY:1-69;TM:70-92;NC:93-129;TM:130-148;CY:149-289;TM:290-314;NC:315-371;TM:372-394;CY:395-405;TM:406-425;NC:426-472;TM:473-494;CY:495-839,HPA059551,,"Cytoplasmic vesicle, autophagosome membrane (Multi-pass membrane protein);Endoplasmic reticulum membrane (Multi-pass membrane protein);Golgi apparatus, trans-Golgi network membrane (Multi-pass membrane protein);Late endosome membrane (Multi-pass membrane protein)"
ATP1B1,Sodium/potassium-transporting ATPase subunit beta-1,surface,pos. trainingset,,1 - high confidence,1,CY:1-35;TM:36-59;NC:60-303,HPA012911,,Cell membrane (Single-pass type II membrane protein)
ATP1B2,Sodium/potassium-transporting ATPase subunit beta-2,surface,pos. trainingset,,1 - high confidence,1,CY:1-36;TM:37-62;NC:63-290,HPA010698,,Cell membrane (Single-pass type II membrane protein)
ATP1B3,Sodium/potassium-transporting ATPase subunit beta-3,surface,pos. trainingset,CD298,1 - high confidence,1,CY:1-37;TM:38-61;NC:62-279,CAB020697;HPA048963,,Cell membrane (Single-pass type II membrane protein);Melanosome
ATP6V0A2,V-type proton ATPase 116 kDa subunit a isoform 2,surface,pos. trainingset,,1 - high confidence,8,CY:1-393;TM:394-410;NC:411-415;TM:416-432;CY:433-450;TM:451-468;NC:469-553;TM:554-572;CY:573-583;TM:584-607;NC:608-650;TM:651-673;CY:674-741;TM:742-764;NC:765-784;TM:785-808;CY:809-856,HPA044279,,Cell membrane (Multi-pass membrane protein);Endosome membrane
ATRAID,All-trans retinoic acid-induced differentiation factor,surface,pos. trainingset,,1 - high confidence,1,SP:1-30;NC:31-197;TM:198-220;CY:221-229,HPA051353,,Cell membrane (Single-pass membrane protein);Nucleus envelope
ATRN,Attractin,surface,pos. trainingset,,1 - high confidence,1,SP:1-20;NC:21-1279;TM:1280-1303;CY:1304-1429,HPA008853,,Cell membrane (Single-pass type I membrane protein);Secreted;Secreted
AXL,Tyrosine-protein kinase receptor UFO,surface,pos. trainingset,,1 - high confidence,1,SP:1-28;NC:29-449;TM:450-472;CY:473-894,CAB032501;HPA037422;HPA037423,,Cell membrane (Single-pass type I membrane protein)
BACE1,Beta-secretase 1,surface,machine learning,,1 - high confidence,1,SP:1-21;NC:22-457;TM:458-480;CY:481-501,CAB016358,,"Cell surface;Cytoplasmic vesicle membrane;Endoplasmic reticulum;Endosome;Golgi apparatus, trans-Golgi network;Membrane (Single-pass type I membrane protein)"
BCAM,Basal cell adhesion molecule,surface,machine learning,CD239,1 - high confidence,1,SP:1-31;NC:32-547;TM:548-571;CY:572-628,HPA005654,,Membrane (Single-pass type I membrane protein)
BCAN,Brevican core protein,surface,GPI (UniProt),,1 - high confidence,0,SP:1-22;NC:23-911,HPA007865;CAB025862,,"Secreted, extracellular space, extracellular matrix;Membrane (Lipid-anchor, GPI- anchor)"
BMPR2,Bone morphogenetic protein receptor type-2,surface,machine learning,,1 - high confidence,1,SP:1-26;NC:27-150;TM:151-172;CY:173-1038,HPA017385;HPA049014,,Membrane (Single-pass type I membrane protein)
BSG,Basigin,surface,pos. trainingset,CD147,1 - high confidence,1,SP:1-21;NC:22-323;TM:324-345;CY:346-385,CAB002427;HPA036048,,Cell membrane (Single-pass type I membrane protein);Melanosome
BST1,ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 2,surface,GPI (UniProt),CD157,1 - high confidence,0,SP:1-32;NC:33-318,HPA050121,,"Cell membrane (Lipid-anchor, GPI-anchor)"
BST2,Bone marrow stromal antigen 2,surface,GPI (UniProt),CD317,1 - high confidence,1,CY:1-21;TM:22-45;NC:46-180,HPA017060,,"Apical cell membrane;Cell membrane (Lipid-anchor, GPI-anchor);Cell membrane (Single-pass type II membrane protein);Cytoplasm;Golgi apparatus, trans-Golgi network;Late endosome;Membrane raft"
BTLA,B- and T-lymphocyte attenuator,surface,machine learning,CD272,1 - high confidence,1,SP:1-30;NC:31-153;TM:154-178;CY:179-289,HPA047211,,Membrane (Single-pass type I membrane protein)
BTN2A1,Butyrophilin subfamily 2 member A1,surface,machine learning,,1 - high confidence,1,SP:1-28;NC:29-248;TM:249-269;CY:270-527,HPA019208,,Membrane (Single-pass type I membrane protein)
BVES,Blood vessel epicardial substance,surface,pos. trainingset,,1 - high confidence,3,NC:1-42;TM:43-64;CY:65-70;TM:71-87;NC:88-92;TM:93-113;CY:114-360,HPA014788;HPA018176,,"Cell junction, tight junction;Lateral cell membrane;Membrane (Multi-pass membrane protein)"
C11ORF24,Uncharacterized protein C11orf24,surface,pos. trainingset,,1 - high confidence,1,SP:1-20;NC:21-400;TM:401-422;CY:423-449,HPA012748,,"Cell membrane (Single-pass type I membrane protein);Golgi apparatus, trans-Golgi network membrane (Single-pass type I membrane protein)"
C1ORF159,Uncharacterized protein C1orf159,surface,machine learning,,1 - high confidence,1,SP:1-18;NC:19-144;TM:145-169;CY:170-380,HPA010019,,Membrane (Single-pass membrane protein)
CA12,Carbonic anhydrase 12,surface,machine learning,,1 - high confidence,1,SP:1-29;NC:30-300;TM:301-327;CY:328-354,HPA008773;CAB025181;CAB062549;CAB068179,DB00562;DB00774;DB00909;DB00999,Membrane (Single-pass type I membrane protein)
CACHD1,VWFA and cache domain-containing protein 1,surface,machine learning,,1 - high confidence,1,SP:1-37;NC:38-1096;TM:1097-1117;CY:1118-1274,HPA017202,,Membrane (Single-pass type I membrane protein)
CACNG6,Voltage-dependent calcium channel gamma-6 subunit,surface,machine learning,,2 - putative,4,CY:1-40;TM:41-62;NC:63-138;TM:139-162;CY:163-168;TM:169-189;NC:190-217;TM:218-242;CY:243-260,no,,Membrane (Multi-pass membrane protein)
CADM1,Cell adhesion molecule 1,surface,pos. trainingset,,1 - high confidence,1,SP:1-19;NC:20-374;TM:375-396;CY:397-442,CAB037266,,"Cell junction, synapse;Cell membrane (Single-pass type I membrane protein)"
CADM2,Cell adhesion molecule 2,surface,pos. trainingset,,1 - high confidence,1,SP:1-24;NC:25-367;TM:368-389;CY:390-435,HPA010024,,"Cell junction, synapse;Cell membrane (Single-pass type I membrane protein);Cell projection, axon"
CADM3,Cell adhesion molecule 3,surface,pos. trainingset,,1 - high confidence,1,SP:1-26;NC:27-328;TM:329-354;CY:355-398,HPA002981;CAB025746,,Cell junction;Cell membrane (Single-pass type I membrane protein)
CADM4,Cell adhesion molecule 4,surface,machine learning,,1 - high confidence,1,SP:1-24;NC:25-322;TM:323-347;CY:348-388,HPA012612,,Membrane (Single-pass type I membrane protein)
CALCRL,Calcitonin gene-related peptide type 1 receptor,surface,pos. trainingset,,1 - high confidence,7,SP:1-24;NC:25-141;TM:142-166;CY:167-178;TM:179-198;NC:199-217;TM:218-241;CY:242-252;TM:253-273;NC:274-291;TM:292-313;CY:314-333;TM:334-355;NC:356-366;TM:367-387;CY:388-461,HPA008070,,Cell membrane (Multi-pass membrane protein)
CASD1,CAS1 domain-containing protein 1,surface,machine learning,,1 - high confidence,14,SP:1-41;NC:42-311;TM:312-333;CY:334-362;TM:363-383;NC:384-395;TM:396-416;CY:417-436;TM:437-457;NC:458-462;TM:463-481;CY:482-492;TM:493-509;NC:510-513;TM:514-535;CY:536-546;TM:547-570;NC:571-601;TM:602-620;CY:621-640;TM:641-658;NC:659-669;TM:670-688;CY:689-698;TM:699-719;NC:720-725;TM:726-750;CY:751-770;TM:771-791;NC:792-797,HPA044404,,Membrane (Multi-pass membrane protein)
