UniProt gene,UniProt description,Surfaceome Label,Surfaceome Label Source,CD number,CSPA category,TM domains,topology,HPA antibody,DrugBank approved drug IDs,UniProt subcellular
ABCA9,ATP-binding cassette sub-family A member 9,surface,machine learning,,,14,CY:1-30;TM:31-49;NC:50-224;TM:225-245;CY:246-264;TM:265-288;NC:289-293;TM:294-320;CY:321-328;TM:329-351;NC:352-356;TM:357-377;CY:378-396;TM:397-420;NC:421-862;TM:863-884;CY:885-1025;TM:1026-1045;NC:1046-1064;TM:1065-1085;CY:1086-1098;TM:1099-1125;NC:1126-1135;TM:1136-1154;CY:1155-1160;TM:1161-1182;NC:1183-1201;TM:1202-1223;CY:1224-1624,HPA054823,,Membrane (Multi-pass membrane protein)
ABCB1,Multidrug resistance protein 1,surface,pos. trainingset,CD243,1 - high confidence,12,CY:1-48;TM:49-72;NC:73-114;TM:115-139;CY:140-189;TM:190-208;NC:209-213;TM:214-235;CY:236-292;TM:293-316;NC:317-327;TM:328-346;CY:347-707;TM:708-733;NC:734-753;TM:754-777;CY:778-832;TM:833-853;NC:854-858;TM:859-879;CY:880-936;TM:937-955;NC:956-973;TM:974-995;CY:996-1280,CAB001716;HPA002199,DB00171;DB00778;DB04877,Cell membrane (Multi-pass membrane protein)
ABCB11,Bile salt export pump,surface,machine learning,,,12,CY:1-58;TM:59-83;NC:84-143;TM:144-167;CY:168-216;TM:217-236;NC:237-241;TM:242-263;CY:264-319;TM:320-343;NC:344-354;TM:355-374;CY:375-751;TM:752-775;NC:776-794;TM:795-820;CY:821-875;TM:876-894;NC:895-899;TM:900-917;CY:918-978;TM:979-998;NC:999-1014;TM:1015-1035;CY:1036-1321,HPA019035,DB00171;DB01016,Membrane (Multi-pass membrane protein)
ABCB4,Multidrug resistance protein 3,surface,machine learning,,,12,CY:1-54;TM:55-78;NC:79-117;TM:118-142;CY:143-191;TM:192-211;NC:212-216;TM:217-237;CY:238-296;TM:297-318;NC:319-329;TM:330-351;CY:352-707;TM:708-733;NC:734-752;TM:753-776;CY:777-831;TM:832-852;NC:853-857;TM:858-878;CY:879-935;TM:936-954;NC:955-972;TM:973-993;CY:994-1286,CAB004498;HPA049395;HPA053288,,Cell membrane (Multi-pass membrane protein)
ABCB5,ATP-binding cassette sub-family B member 5,surface,machine learning,,,12,CY:1-44;TM:45-68;NC:69-107;TM:108-131;CY:132-181;TM:182-201;NC:202-206;TM:207-229;CY:230-288;TM:289-308;NC:309-319;TM:320-343;CY:344-689;TM:690-714;NC:715-733;TM:734-757;CY:758-812;TM:813-833;NC:834-838;TM:839-862;CY:863-916;TM:917-935;NC:936-953;TM:954-975;CY:976-1257,HPA026975,,Cell membrane (Multi-pass membrane protein)
ABCB9,ATP-binding cassette sub-family B member 9,surface,machine learning,,,8,NC:1-5;TM:6-27;CY:28-47;TM:48-69;NC:70-80;TM:81-103;CY:104-114;TM:115-137;NC:138-184;TM:185-208;CY:209-227;TM:228-254;NC:255-323;TM:324-346;CY:347-408;TM:409-431;NC:432-766,CAB033052;HPA035114,,Lysosome membrane (Multi- pass membrane protein)
ABCC1,Multidrug resistance-associated protein 1,surface,pos. trainingset,,1 - high confidence,17,NC:1-36;TM:37-56;CY:57-75;TM:76-94;NC:95-99;TM:100-124;CY:125-135;TM:136-153;NC:154-172;TM:173-191;CY:192-315;TM:316-335;NC:336-362;TM:363-385;CY:386-436;TM:437-459;NC:460-464;TM:465-485;CY:486-542;TM:543-571;NC:572-590;TM:591-611;CY:612-968;TM:969-991;NC:992-1023;TM:1024-1045;CY:1046-1089;TM:1090-1110;NC:1111-1115;TM:1116-1134;CY:1135-1199;TM:1200-1220;NC:1221-1226;TM:1227-1247;CY:1248-1531,HPA002380,DB01138,Cell membrane (Multi-pass membrane protein)
ABCC10,Multidrug resistance-associated protein 7,surface,machine learning,,,19,SP:1-16;NC:17-31;TM:32-50;CY:51-69;TM:70-90;NC:91-101;TM:102-122;CY:123-133;TM:134-154;NC:155-168;TM:169-190;CY:191-284;TM:285-311;NC:312-322;TM:323-340;CY:341-392;TM:393-415;NC:416-420;TM:421-441;CY:442-504;TM:505-527;NC:528-538;TM:539-562;CY:563-878;TM:879-897;NC:898-933;TM:934-954;CY:955-965;TM:966-991;NC:992-1003;TM:1004-1026;CY:1027-1037;TM:1038-1058;NC:1059-1063;TM:1064-1081;CY:1082-1154;TM:1155-1172;NC:1173-1182;TM:1183-1203;CY:1204-1492,HPA041607;HPA045464,,Cell membrane (Multi-pass membrane protein)
ABCC11,ATP-binding cassette sub-family C member 11,surface,machine learning,,,10,CY:1-162;TM:163-184;NC:185-196;TM:197-216;CY:217-269;TM:270-290;NC:291-295;TM:296-319;CY:320-378;TM:379-404;NC:405-415;TM:416-441;CY:442-802;TM:803-827;NC:828-863;TM:864-884;CY:885-936;TM:937-957;NC:958-1046;TM:1047-1069;CY:1070-1382,HPA031980;HPA031981;HPA031982;CAB032513,,Membrane (Multi-pass membrane protein)
ABCC12,Multidrug resistance-associated protein 9,surface,machine learning,,,11,CY:1-126;TM:127-148;NC:149-159;TM:160-185;CY:186-233;TM:234-257;NC:258-262;TM:263-281;CY:282-347;TM:348-368;NC:369-379;TM:380-402;CY:403-791;TM:792-816;NC:817-852;TM:853-873;CY:874-934;TM:935-966;NC:967-985;TM:986-1005;CY:1006-1030;TM:1031-1051;NC:1052-1359,HPA043100,,Membrane (Multi-pass membrane protein)
ABCC2,Canalicular multispecific organic anion transporter 1,surface,machine learning,,2 - putative,17,NC:1-30;TM:31-52;CY:53-63;TM:64-87;NC:88-98;TM:99-118;CY:119-128;TM:129-150;NC:151-161;TM:162-184;CY:185-316;TM:317-338;NC:339-357;TM:358-382;CY:383-436;TM:437-456;NC:457-461;TM:462-481;CY:482-542;TM:543-568;NC:569-587;TM:588-606;CY:607-970;TM:971-994;NC:995-1030;TM:1031-1052;CY:1053-1098;TM:1099-1116;NC:1117-1121;TM:1122-1142;CY:1143-1208;TM:1209-1229;NC:1230-1236;TM:1237-1256;CY:1257-1545,HPA004860;CAB037271,DB00171;DB01138,Apical cell membrane (Multi-pass membrane protein)
ABCC3,Canalicular multispecific organic anion transporter 2,surface,machine learning,,,17,NC:1-35;TM:36-55;CY:56-74;TM:75-93;NC:94-101;TM:102-123;CY:124-134;TM:135-153;NC:154-171;TM:172-190;CY:191-299;TM:300-321;NC:322-346;TM:347-367;CY:368-424;TM:425-445;NC:446-450;TM:451-471;CY:472-534;TM:535-557;NC:558-576;TM:577-595;CY:596-964;TM:965-987;NC:988-1017;TM:1018-1042;CY:1043-1081;TM:1082-1104;NC:1105-1109;TM:1110-1130;CY:1131-1196;TM:1197-1217;NC:1218-1223;TM:1224-1244;CY:1245-1527,CAB037136;HPA048483,,Membrane (Multi-pass membrane protein)
ABCC4,Multidrug resistance-associated protein 4,surface,machine learning,,2 - putative,12,CY:1-91;TM:92-114;NC:115-133;TM:134-157;CY:158-207;TM:208-227;NC:228-232;TM:233-254;CY:255-319;TM:320-342;NC:343-347;TM:348-369;CY:370-708;TM:709-730;NC:731-764;TM:765-791;CY:792-834;TM:835-854;NC:855-859;TM:860-882;CY:883-948;TM:949-970;NC:971-976;TM:977-997;CY:998-1325,HPA002476,,Membrane (Multi-pass membrane protein)
ABCC5,Multidrug resistance-associated protein 5,surface,machine learning,,2 - putative,12,CY:1-178;TM:179-199;NC:200-218;TM:219-242;CY:243-290;TM:291-313;NC:314-318;TM:319-336;CY:337-395;TM:396-418;NC:419-428;TM:429-447;CY:448-856;TM:857-880;NC:881-912;TM:913-936;CY:937-992;TM:993-1011;NC:1012-1016;TM:1017-1036;CY:1037-1101;TM:1102-1121;NC:1122-1126;TM:1127-1147;CY:1148-1437,HPA052295,,Membrane (Multi-pass membrane protein)
ABCC9,ATP-binding cassette sub-family C member 9,surface,machine learning,,,15,NC:1-30;TM:31-50;CY:51-70;TM:71-92;NC:93-103;TM:104-122;CY:123-132;TM:133-151;NC:152-163;TM:164-187;CY:188-304;TM:305-323;NC:324-350;TM:351-369;CY:370-424;TM:425-449;NC:450-454;TM:455-474;CY:475-531;TM:532-556;NC:557-574;TM:575-596;CY:597-986;TM:987-1014;NC:1015-1033;TM:1034-1057;CY:1058-1124;TM:1125-1149;NC:1150-1246;TM:1247-1266;CY:1267-1549,HPA007279,DB00171;DB01016,Membrane (Multi-pass membrane protein)
ABCG2,ATP-binding cassette sub-family G member 2,surface,pos. trainingset,CD338,,6,CY:1-394;TM:395-416;NC:417-427;TM:428-450;CY:451-479;TM:480-499;NC:500-504;TM:505-527;CY:528-535;TM:536-558;NC:559-629;TM:630-650;CY:651-655,CAB037299;HPA054719,,Cell membrane (Multi-pass membrane protein);Mitochondrion membrane (Multi-pass membrane protein)
ABCG4,ATP-binding cassette sub-family G member 4,surface,machine learning,,,6,CY:1-393;TM:394-413;NC:414-426;TM:427-448;CY:449-469;TM:470-492;NC:493-503;TM:504-525;CY:526-532;TM:533-555;NC:556-616;TM:617-638;CY:639-646,HPA040312,,Membrane (Multi-pass membrane protein)
ABCG5,ATP-binding cassette sub-family G member 5,surface,machine learning,,,6,CY:1-383;TM:384-405;NC:406-422;TM:423-444;CY:445-464;TM:465-487;NC:488-499;TM:500-522;CY:523-528;TM:529-549;NC:550-623;TM:624-643;CY:644-651,HPA016514,,Membrane (Multi-pass membrane protein)
ACE,Angiotensin-converting enzyme,surface,pos. trainingset,CD143,1 - high confidence,1,SP:1-29;NC:30-1257;TM:1258-1278;CY:1279-1306,CAB002426;CAB002921;HPA029298,DB00178;DB00492;DB00519;DB00542;DB00584;DB00616;DB00691;DB00722;DB00790;DB00881;DB01180;DB01197;DB01340;DB01348,Cell membrane (Single-pass type I membrane protein);Cytoplasm;Secreted
ACE2,Angiotensin-converting enzyme 2,surface,pos. trainingset,,,1,SP:1-19;NC:20-739;TM:740-765;CY:766-805,HPA000288;CAB026174,DB00691;DB00722,Cell membrane (Single-pass type I membrane protein);Cytoplasm;Secreted
ACHE,Acetylcholinesterase,surface,GPI (UniProt),,1 - high confidence,0,SP:1-30;NC:31-614,HPA019704,DB00122;DB00449;DB00483;DB00545;DB00674;DB00677;DB00733;DB00805;DB00843;DB00944;DB00981;DB00989;DB01010;DB01122;DB01199;DB01245;DB01364;DB01400;DB08996,"Cell junction, synapse;Cell membrane (Peripheral membrane protein);Secreted;Cell membrane (Lipid-anchor, GPI-anchor|Extracellular side;Nucleus"
ACKR1,Atypical chemokine receptor 1,surface,machine learning,CD234,,7,NC:1-62;TM:63-84;CY:85-95;TM:96-117;NC:118-134;TM:135-153;CY:154-164;TM:165-186;NC:187-206;TM:207-226;CY:227-245;TM:246-265;NC:266-285;TM:286-308;CY:309-336,HPA016421;HPA017672,,Early endosome;Membrane (Multi-pass membrane protein);Recycling endosome
ACKR2,Atypical chemokine receptor 2,surface,pos. trainingset,,,7,NC:1-50;TM:51-72;CY:73-91;TM:92-111;NC:112-122;TM:123-140;CY:141-160;TM:161-183;NC:184-215;TM:216-239;CY:240-250;TM:251-272;NC:273-291;TM:292-314;CY:315-384,HPA013819,,Cell membrane (Multi-pass membrane protein);Early endosome;Recycling endosome
ACKR3,Atypical chemokine receptor 3,surface,pos. trainingset,,1 - high confidence,7,NC:1-41;TM:42-66;CY:67-80;TM:81-102;NC:103-120;TM:121-140;CY:141-160;TM:161-182;NC:183-209;TM:210-234;CY:235-253;TM:254-277;NC:278-293;TM:294-318;CY:319-362,HPA049718,,"Cell membrane (Multi-pass membrane protein);Cytoplasm, perinuclear region;Early endosome;Recycling endosome"
ACKR4,Atypical chemokine receptor 4,surface,machine learning,,,7,NC:1-42;TM:43-68;CY:69-87;TM:88-107;NC:108-113;TM:114-135;CY:136-153;TM:154-178;NC:179-197;TM:198-222;CY:223-238;TM:239-258;NC:259-290;TM:291-310;CY:311-350,no,,Cell membrane (Multi-pass membrane protein);Early endosome;Recycling endosome
ACP2,Lysosomal acid phosphatase,surface,machine learning,,1 - high confidence,1,SP:1-32;NC:33-380;TM:381-404;CY:405-423,no,,Lysosome lumen;Lysosome membrane (Single-pass membrane protein|Lumenal side
ACVR1,Activin receptor type-1,surface,pos. trainingset,,1 - high confidence,1,SP:1-22;NC:23-123;TM:124-146;CY:147-509,HPA007505;HPA046514,DB00171,Membrane (Single-pass type I membrane protein)
ACVR1B,Activin receptor type-1B,surface,machine learning,,,1,SP:1-23;NC:24-126;TM:127-151;CY:152-505,CAB026126;HPA063761,DB00171,Cell membrane (Single-pass type I membrane protein)
ACVR1C,Activin receptor type-1C,surface,machine learning,,,1,SP:1-19;NC:20-113;TM:114-136;CY:137-493,HPA007982;HPA011933,,Membrane (Single-pass type I membrane protein)
ACVR2A,Activin receptor type-2A,surface,machine learning,,1 - high confidence,1,SP:1-19;NC:20-138;TM:139-161;CY:162-513,HPA046997,,Membrane (Single-pass type I membrane protein)
ACVR2B,Activin receptor type-2B,surface,pos. trainingset,,1 - high confidence,1,SP:1-22;NC:23-137;TM:138-159;CY:160-512,CAB025115,,Cell membrane (Single-pass type I membrane protein)
ACVRL1,Serine/threonine-protein kinase receptor R3,surface,machine learning,,,1,SP:1-21;NC:22-118;TM:119-141;CY:142-503,HPA007041,DB00171,Membrane (Single-pass type I membrane protein)
ADAM10,Disintegrin and metalloproteinase domain-containing protein 10,surface,pos. trainingset,CD156c,1 - high confidence,1,SP:1-18;NC:19-675;TM:676-696;CY:697-748,CAB001709;HPA050670,,Cell membrane (Single-pass type I membrane protein);Endomembrane system (Single-pass type I membrane protein)
ADAM11,Disintegrin and metalloproteinase domain-containing protein 11,surface,machine learning,,,1,SP:1-23;NC:24-734;TM:735-757;CY:758-769,HPA053299,,Membrane (Single-pass type I membrane protein)
ADAM12,Disintegrin and metalloproteinase domain-containing protein 12,surface,pos. trainingset,,1 - high confidence,1,SP:1-28;NC:29-708;TM:709-729;CY:730-909,HPA030866;HPA030867;HPA030868,,Cell membrane (Single-pass type I membrane protein);Secreted;Secreted;Secreted
ADAM15,Disintegrin and metalloproteinase domain-containing protein 15,surface,machine learning,,1 - high confidence,1,SP:1-22;NC:23-696;TM:697-717;CY:718-863,HPA011633,,"Cell junction, adherens junction;Cell projection, cilium, flagellum;Cytoplasmic vesicle, secretory vesicle, acrosome;Endomembrane system (Single-pass type I membrane protein)"
ADAM17,Disintegrin and metalloproteinase domain-containing protein 17,surface,machine learning,CD156b,1 - high confidence,1,SP:1-21;NC:22-671;TM:672-693;CY:694-824,HPA010738;CAB025906;HPA051575,,Membrane (Single-pass type I membrane protein)
ADAM18,Disintegrin and metalloproteinase domain-containing protein 18,surface,machine learning,,,1,SP:1-16;NC:17-687;TM:688-708;CY:709-739,no,,Membrane (Single-pass type I membrane protein)
ADAM19,Disintegrin and metalloproteinase domain-containing protein 19,surface,machine learning,,1 - high confidence,1,SP:1-25;NC:26-701;TM:702-724;CY:725-955,HPA055537,,Membrane (Single-pass type I membrane protein)
ADAM2,Disintegrin and metalloproteinase domain-containing protein 2,surface,machine learning,,,1,SP:1-16;NC:17-686;TM:687-707;CY:708-735,CAB022390;HPA024621;HPA026581,,Membrane (Single-pass type I membrane protein)
ADAM20,Disintegrin and metalloproteinase domain-containing protein 20,surface,machine learning,,,1,SP:1-31;NC:32-691;TM:692-714;CY:715-726,HPA059377,,Membrane (Single-pass type I membrane protein)
ADAM21,Disintegrin and metalloproteinase domain-containing protein 21,surface,machine learning,,,1,SP:1-31;NC:32-681;TM:682-707;CY:708-722,HPA059016,,Membrane (Single-pass type I membrane protein)
ADAM22,Disintegrin and metalloproteinase domain-containing protein 22,surface,machine learning,,1 - high confidence,1,SP:1-25;NC:26-736;TM:737-760;CY:761-906,HPA045282,,"Cell projection, axon;Membrane (Single-pass type I membrane protein)"
ADAM23,Disintegrin and metalloproteinase domain-containing protein 23,surface,machine learning,,,1,SP:1-39;NC:40-792;TM:793-815;CY:816-832,HPA012130;CAB033276,,Cell membrane (Single-pass type I membrane protein);Secreted
ADAM28,Disintegrin and metalloproteinase domain-containing protein 28,surface,pos. trainingset,,,1,SP:1-18;NC:19-661;TM:662-686;CY:687-775,no,,Cell membrane (Single-pass type I membrane protein);Secreted
ADAM29,Disintegrin and metalloproteinase domain-containing protein 29,surface,machine learning,,,1,SP:1-18;NC:19-675;TM:676-697;CY:698-820,HPA014159,,Membrane (Single-pass type I membrane protein)
ADAM30,Disintegrin and metalloproteinase domain-containing protein 30,surface,machine learning,,,1,SP:1-27;NC:28-685;TM:686-708;CY:709-790,HPA026080,,Membrane (Single-pass type I membrane protein)
ADAM32,Disintegrin and metalloproteinase domain-containing protein 32,surface,machine learning,,,1,SP:1-19;NC:20-682;TM:683-703;CY:704-787,HPA044156,,Membrane (Single-pass type I membrane protein)
ADAM33,Disintegrin and metalloproteinase domain-containing protein 33,surface,machine learning,,,1,SP:1-27;NC:28-701;TM:702-725;CY:726-813,no,,Membrane (Single-pass type I membrane protein)
ADAM7,Disintegrin and metalloproteinase domain-containing protein 7,surface,machine learning,,,1,SP:1-18;NC:19-668;TM:669-690;CY:691-754,HPA008879,,Membrane (Single-pass type I membrane protein)
ADAM8,Disintegrin and metalloproteinase domain-containing protein 8,surface,machine learning,CD156a,1 - high confidence,1,SP:1-20;NC:21-653;TM:654-678;CY:679-824,HPA064637,,Membrane (Single-pass type I membrane protein)
ADAM9,Disintegrin and metalloproteinase domain-containing protein 9,surface,pos. trainingset,,1 - high confidence,1,SP:1-28;NC:29-698;TM:699-718;CY:719-819,HPA004000,,Cell membrane (Single-pass type I membrane protein);Secreted
ADCY2,Adenylate cyclase type 2,surface,machine learning,,,12,CY:1-45;TM:46-70;NC:71-75;TM:76-98;CY:99-104;TM:105-125;NC:126-135;TM:136-153;CY:154-158;TM:159-181;NC:182-186;TM:187-207;CY:208-599;TM:600-621;NC:622-626;TM:627-651;CY:652-679;TM:680-701;NC:702-735;TM:736-757;CY:758-763;TM:764-782;NC:783-801;TM:802-821;CY:822-1091,CAB031482;HPA038015;HPA038483,,Membrane (Multi-pass membrane protein)
ADCY3,Adenylate cyclase type 3,surface,machine learning,,2 - putative,12,CY:1-77;TM:78-100;NC:101-105;TM:106-126;CY:127-137;TM:138-157;NC:158-168;TM:169-195;CY:196-225;TM:226-247;NC:248-383;TM:384-402;CY:403-632;TM:633-653;NC:654-663;TM:664-687;CY:688-707;TM:708-732;NC:733-752;TM:753-771;CY:772-776;TM:777-795;NC:796-838;TM:839-856;CY:857-1144,CAB010223;HPA051172,,Membrane (Multi-pass membrane protein)
ADCY5,Adenylate cyclase type 5,surface,machine learning,,,12,CY:1-196;TM:197-216;NC:217-239;TM:240-259;CY:260-269;TM:270-292;NC:293-297;TM:298-319;CY:320-327;TM:328-347;NC:348-378;TM:379-399;CY:400-763;TM:764-786;NC:787-791;TM:792-813;CY:814-833;TM:834-854;NC:855-908;TM:909-927;CY:928-933;TM:934-955;NC:956-983;TM:984-1004;CY:1005-1261,HPA017730,,"Cell projection, cilium;Membrane (Multi-pass membrane protein)"
ADCY6,Adenylate cyclase type 6,surface,machine learning,,2 - putative,12,CY:1-151;TM:152-172;NC:173-177;TM:178-198;CY:199-209;TM:210-230;NC:231-235;TM:236-253;CY:254-259;TM:260-278;NC:279-288;TM:289-308;CY:309-668;TM:669-692;NC:693-697;TM:698-721;CY:722-741;TM:742-762;NC:763-814;TM:815-833;CY:834-839;TM:840-859;NC:860-892;TM:893-912;CY:913-1168,CAB018365,,"Cell projection, cilium;Membrane (Multi-pass membrane protein)"
ADCY7,Adenylate cyclase type 7,surface,machine learning,,2 - putative,12,CY:1-33;TM:34-54;NC:55-63;TM:64-85;CY:86-91;TM:92-116;NC:117-121;TM:122-140;CY:141-146;TM:147-169;NC:170-175;TM:176-196;CY:197-595;TM:596-614;NC:615-619;TM:620-641;CY:642-665;TM:666-689;NC:690-718;TM:719-738;CY:739-744;TM:745-762;NC:763-799;TM:800-819;CY:820-1080,HPA048241,,Membrane (Multi-pass membrane protein)
ADCY9,Adenylate cyclase type 9,surface,machine learning,,2 - putative,12,CY:1-117;TM:118-136;NC:137-141;TM:142-164;CY:165-172;TM:173-195;NC:196-217;TM:218-235;CY:236-241;TM:242-261;NC:262-280;TM:281-301;CY:302-787;TM:788-809;NC:810-820;TM:821-843;CY:844-862;TM:863-884;NC:885-891;TM:892-911;CY:912-921;TM:922-939;NC:940-976;TM:977-996;CY:997-1353,HPA041328;HPA044225,,Membrane (Multi-pass membrane protein)
ADCYAP1R1,Pituitary adenylate cyclase-activating polypeptide type I receptor,surface,pos. trainingset,,,7,SP:1-23;NC:24-154;TM:155-176;CY:177-187;TM:188-209;NC:210-230;TM:231-254;CY:255-265;TM:266-287;NC:288-306;TM:307-332;CY:333-350;TM:351-371;NC:372-382;TM:383-404;CY:405-468,HPA049877,,Cell membrane (Multi-pass membrane protein)
ADIPOR2,Adiponectin receptor protein 2,surface,machine learning,,,7,CY:1-148;TM:149-168;NC:169-182;TM:183-206;CY:207-217;TM:218-237;NC:238-246;TM:247-267;CY:268-277;TM:278-298;NC:299-309;TM:310-330;CY:331-349;TM:350-366;NC:367-386,HPA043737,,Membrane (Multi-pass membrane protein)
